906 910
406 420 -321
278 707 872
493 270 -395
510 255 973
243 707 729
320 414 -395
318 856 49
325 525 -354
866 214 -638
686 526 -313
766 875 475
905 213 711
800 727 -241
856 588 -381
852 400 -712
633 847 -739
153 534 665
623 474 -827
696 459 -40
827 254 -923
447 831 195
269 652 723
823 240 420
768 534 754
442 32 35
294 888 -911
244 770 145
373 353 -804
814 234 55
642 753 -640
762 497 268
472 418 -583
144 172 375
796 318 330
82 87 200
541 436 -883
479 337 -947
70 583 705
260 545 -450
716 655 -465
883 479 -394
489 223 -514
741 87 -572
24 636 280
162 59 366
847 750 771
800 67 -708
443 94 251
355 50 -597
121 372 -906
841 100 856
743 685 -173
396 372 475
321 329 395
899 172 -931
889 470 635
248 120 285
280 675 133
185 355 -863
402 745 446
449 564 -639
817 562 357
431 203 344
693 218 334
646 717 982
564 591 -988
255 71 104
828 755 -51
745 210 -182
50 215 747
631 644 -910
151 766 -667
665 387 769
813 258 976
617 782 -410
885 767 -380
193 464 461
408 151 439
239 429 831
276 467 -273
529 902 -166
719 706 877
462 203 591
338 414 243
721 714 -717
248 811 464
399 632 -637
613 877 930
505 49 707
35 142 190
402 270 640
142 304 -833
809 574 0
593 703 891
493 3 468
300 193 783
394 775 197
724 62 114
503 249 -687
581 285 128
401 100 434
35 899 -21
30 77 -302
560 470 451
760 225 371
180 87 312
609 186 584
127 564 975
263 124 -419
664 697 405
45 819 736
504 24 846
475 557 836
853 261 352
502 407 70
647 178 -961
65 497 130
358 404 799
165 403 -829
265 570 191
532 600 958
275 138 57
905 382 6
198 584 478
631 104 358
496 109 814
232 652 -53
858 446 27
35 740 357
695 37 418
682 159 95
110 891 306
160 179 604
463 183 -454
48 884 44
657 504 -242
611 563 770
624 244 826
600 818 281
411 244 451
267 412 -238
528 837 782
831 822 2
717 564 -860
119 878 241
357 55 743
800 294 -784
647 81 -714
72 605 -914
382 298 462
467 258 -735
362 758 -699
806 335 299
193 139 -631
422 835 -331
765 141 -205
485 782 913
311 88 884
491 193 224
454 101 -837
217 418 -356
248 702 397
641 581 -896
263 164 -536
561 159 597
333 471 -21
111 716 626
527 351 418
761 129 -276
770 285 -339
70 185 -80
538 487 800
120 517 -447
878 614 -129
415 371 -369
595 8 -11
356 823 -874
80 228 -84
618 617 71
288 804 91
531 165 84
555 482 -329
50 892 897
501 544 -655
375 275 499
269 174 314
889 764 -86
604 562 -513
157 748 315
294 357 416
568 698 716
163 156 -49
616 101 970
236 732 864
841 54 -156
39 57 263
889 447 690
253 363 980
77 851 -146
656 109 -344
847 881 -448
418 893 -487
502 49 376
400 498 -548
331 753 -931
81 870 142
720 663 -808
795 347 565
639 718 705
877 817 429
376 613 -621
825 533 -53
835 887 559
43 741 -147
245 473 -673
446 383 -427
353 584 654
7 742 -295
594 400 283
374 654 -377
621 354 -473
431 207 -37
774 362 -58
591 29 -174
317 81 65
91 651 -469
200 266 -552
432 110 282
873 310 -510
239 192 -7
537 174 -200
44 414 -762
824 74 407
862 332 -365
387 292 -597
723 672 964
843 224 -93
340 448 -79
220 826 -137
82 785 110
349 197 917
327 300 486
810 369 -485
340 330 -353
334 798 -586
705 659 -89
113 597 -781
693 88 -789
870 104 605
165 605 -696
509 176 -892
196 370 653
426 577 -14
621 190 -43
602 275 817
236 224 583
751 228 454
476 233 391
687 697 -912
859 193 -610
127 420 -548
344 330 -577
113 147 202
309 96 -222
113 97 316
626 178 409
781 210 531
295 319 58
470 89 308
1 551 988
383 685 -978
783 421 915
193 337 163
23 90 830
748 156 -188
521 566 741
222 403 -689
463 457 526
478 901 -379
600 26 184
494 694 -328
236 744 -943
408 295 31
194 855 -856
301 864 345
882 578 -178
61 305 -591
107 530 -208
79 479 136
902 211 -270
266 341 -688
164 78 827
334 609 -907
255 632 934
641 899 -65
600 759 -539
621 165 420
105 779 -381
357 415 428
184 778 217
600 234 507
662 875 827
237 628 7
727 173 982
165 117 -462
673 859 915
728 510 933
691 608 -826
36 878 635
93 629 766
432 9 316
903 881 -760
775 681 418
759 358 -772
449 467 261
675 355 -616
339 703 -446
63 341 981
183 39 744
713 88 242
530 763 -551
255 491 528
278 283 901
135 170 -439
875 342 504
787 507 -867
505 723 413
471 630 -109
541 291 327
324 826 -930
231 24 -411
332 781 584
297 273 654
293 226 -215
501 76 698
476 801 667
15 653 -533
861 876 -877
687 153 -819
556 360 -927
594 761 68
473 139 327
823 127 -504
86 448 454
608 632 809
764 229 -651
56 549 751
408 518 -644
478 257 917
66 641 349
439 415 -622
477 441 -149
484 73 195
531 878 120
163 117 -185
342 624 -563
862 203 810
408 492 -732
651 76 666
546 76 100
148 733 740
796 38 486
795 116 374
798 531 267
114 764 -778
476 185 938
619 725 318
814 186 -435
681 852 622
443 609 -520
674 691 401
872 649 -292
343 537 -287
379 138 706
310 121 -296
408 114 231
588 167 -847
145 175 795
862 733 61
170 241 -633
807 102 61
545 162 -713
149 815 -310
718 399 -33
586 28 -256
343 659 -611
350 906 -704
447 70 983
875 111 649
7 417 264
37 266 772
580 525 759
110 641 -316
50 622 466
444 377 -874
115 300 661
445 810 35
779 162 388
164 318 124
270 494 -248
82 277 -732
81 143 492
838 219 -371
526 574 479
355 676 -268
418 878 913
589 458 872
183 350 -949
250 776 999
553 847 -716
898 6 -31
389 789 701
807 546 -459
282 370 -423
742 485 -626
181 717 -850
178 816 -237
465 270 -328
546 208 -770
487 844 -982
120 91 471
273 717 -985
297 397 372
275 549 739
445 150 -369
662 387 -947
146 787 -240
667 783 -163
473 891 -140
744 12 -163
635 669 974
270 650 -774
23 892 297
480 194 222
868 363 -501
650 805 872
719 486 659
761 808 -633
644 298 152
748 722 543
546 60 -488
230 338 -304
357 77 -36
308 535 -607
267 358 680
545 865 -410
699 178 586
724 250 122
672 515 -1000
282 545 -73
665 224 -406
670 313 -974
840 839 338
742 805 425
542 618 697
478 749 -229
292 743 916
455 588 461
615 295 434
495 868 -976
774 222 20
602 827 -471
24 283 278
715 717 144
19 693 492
725 359 -9
524 153 287
790 336 624
806 296 319
786 847 -628
805 301 -950
84 156 178
891 34 402
499 786 -255
365 186 -816
685 307 800
544 819 778
519 234 113
678 643 326
378 326 714
236 104 338
861 560 -913
638 121 -587
11 542 208
178 764 716
841 207 512
902 610 798
232 282 -442
21 873 459
192 461 262
801 10 144
681 224 -375
562 471 -807
894 392 -369
387 859 364
811 784 -286
137 53 655
712 375 -503
771 326 976
248 819 -912
672 254 -660
789 511 521
262 796 784
216 17 243
833 118 -416
58 804 482
660 81 720
503 620 571
661 406 738
92 794 -894
148 554 648
403 382 -172
758 60 468
449 229 290
538 644 -230
218 236 -799
190 52 767
759 839 -448
384 390 611
636 324 -574
97 819 395
585 728 -640
688 31 647
725 319 -657
12 321 378
233 668 -435
152 435 -871
842 158 -539
233 467 -250
429 691 12
639 575 -361
301 759 -604
198 388 -253
229 628 10
857 511 608
38 165 -474
161 877 766
338 415 18
290 766 193
321 686 -456
905 137 624
703 711 818
627 203 -268
439 792 -320
293 511 -724
875 645 -404
689 753 -457
190 233 672
564 27 -816
339 369 -697
447 690 -880
726 64 -764
362 417 589
383 88 588
14 592 422
484 131 691
795 836 596
408 302 -135
68 788 114
327 54 179
11 216 -80
902 280 -646
209 96 -179
166 102 -742
19 465 533
441 756 671
275 22 841
244 209 57
544 140 -367
850 129 798
812 224 -212
464 782 680
403 882 475
878 208 617
648 793 -779
66 273 330
754 2 409
692 424 -79
482 455 -430
870 670 178
81 371 239
109 285 -514
456 130 -99
642 584 734
183 114 140
601 526 876
470 877 -751
349 392 410
478 415 -144
45 269 -37
836 51 -919
298 143 94
253 833 669
710 328 453
898 342 -228
756 730 712
400 461 -790
23 712 -868
397 357 -999
281 887 -504
724 443 -471
104 7 -438
17 395 -324
239 246 152
383 762 783
876 336 -386
117 85 -660
627 534 678
766 250 -976
475 52 -215
131 268 -161
842 627 -907
826 380 431
589 555 -504
10 691 630
122 674 3
542 16 -202
494 13 658
395 764 -850
177 151 -470
488 256 -265
174 268 -208
2 112 -791
671 505 609
712 163 -852
283 783 -240
377 193 795
495 88 628
53 891 493
816 724 -154
149 604 -735
734 347 8
321 485 962
651 327 -840
82 692 853
163 56 496
50 488 151
815 317 -943
615 261 -210
710 832 -25
257 423 945
310 538 516
858 7 -938
891 230 3
884 663 489
902 730 -714
98 236 -266
231 621 -918
795 476 -984
139 822 919
153 542 -323
303 732 -416
234 245 527
867 886 384
606 163 -224
881 573 270
729 571 -395
896 707 154
45 38 -638
481 496 121
257 162 -142
572 479 -755
752 562 452
621 381 846
704 63 356
263 431 -776
206 422 80
353 191 28
178 160 -598
662 871 -640
48 795 24
902 879 581
607 300 245
695 212 -228
7 195 184
131 896 34
248 643 -181
847 508 -40
740 631 -194
722 427 194
71 142 120
235 244 -844
554 676 -226
471 172 541
2 185 -501
415 542 -600
858 536 -796
367 679 753
254 472 -137
340 610 400
466 640 -738
697 400 488
409 463 -285
436 68 -599
418 131 -511
47 849 602
672 873 -192
561 620 417
754 115 -368
374 666 -68
134 501 100
618 502 63
853 479 860
299 860 371
810 603 921
837 487 601
555 197 211
169 22 -721
690 658 -931
122 309 -42
391 400 -475
330 353 641
888 457 -666
860 615 559
35 846 -492
595 777 -346
350 317 758
408 9 839
886 92 286
172 622 -913
503 670 -153
515 807 -561
3 858 -894
30 643 -282
862 37 -531
713 537 -933
642 169 111
808 744 -41
