853 2905
197 249 95
104 752 977
207 770 463
360 475 434
341 253 877
426 676 346
373 90 30
182 461 956
486 848 23
773 464 915
589 70 578
774 121 11
637 25 586
738 218 680
436 412 222
778 411 460
78 211 200
190 690 16
72 536 755
639 209 680
371 726 847
642 26 991
472 473 770
506 731 749
192 682 730
140 846 867
731 208 502
149 418 353
374 315 108
24 719 989
136 838 507
407 621 798
448 240 248
846 129 95
593 314 8
110 355 927
25 678 937
325 781 793
725 154 854
483 677 235
330 840 425
578 327 527
79 25 132
401 589 707
303 355 264
501 11 491
592 417 925
209 849 525
616 167 270
253 543 288
351 440 202
707 827 413
279 61 850
225 426 862
248 432 172
722 77 762
271 719 502
393 258 16
50 364 319
283 850 348
652 620 859
207 133 143
802 214 674
565 515 441
645 608 807
783 747 416
269 209 351
442 666 155
110 465 668
408 393 660
644 467 416
27 836 401
494 490 485
461 79 502
41 568 255
535 366 270
700 198 856
265 851 375
177 263 798
487 846 832
726 346 934
18 750 560
305 541 971
202 427 992
51 236 13
370 19 342
847 556 719
265 107 212
742 298 113
52 621 672
540 599 258
435 511 454
662 583 895
545 207 443
154 233 769
14 476 603
83 785 872
823 682 888
727 703 164
222 119 487
450 57 728
30 740 216
573 611 848
261 536 282
482 444 948
667 609 927
645 545 514
601 500 276
83 20 173
351 28 216
175 206 429
125 482 762
232 732 710
26 786 168
539 702 255
572 340 441
348 704 519
726 628 325
591 476 332
669 109 74
691 4 922
686 800 436
267 334 852
606 628 659
421 156 387
145 430 826
43 529 731
704 231 644
688 769 224
356 760 882
690 399 928
841 802 558
484 740 117
148 28 543
827 228 634
185 725 817
475 110 883
687 32 86
351 172 376
96 111 552
293 203 190
808 37 821
460 387 6
193 272 199
588 251 434
74 335 116
154 756 786
374 841 939
367 634 776
621 825 537
564 768 144
638 823 146
816 270 40
807 181 638
453 158 408
752 45 609
464 796 626
489 475 829
485 397 465
103 644 967
523 568 118
702 585 535
620 478 197
570 239 584
181 283 460
558 568 755
164 51 101
335 183 268
811 487 223
691 303 449
441 279 489
652 147 646
724 295 605
600 454 104
690 662 302
272 21 475
530 75 232
801 786 68
73 425 792
77 207 841
742 678 975
797 61 892
852 178 229
797 73 130
39 426 744
828 562 231
621 694 441
518 369 284
444 437 892
138 437 656
725 459 956
185 581 777
267 635 253
259 571 346
239 104 856
823 438 141
388 157 625
203 87 634
829 272 608
494 666 998
726 316 335
203 445 316
603 256 542
115 135 983
441 278 349
755 783 306
443 231 693
457 682 606
847 404 804
321 830 342
113 755 32
851 806 883
679 140 979
17 796 668
542 448 864
442 39 661
673 657 367
789 607 844
254 212 780
683 819 613
646 694 162
384 482 689
63 600 131
827 414 390
285 407 966
196 141 903
702 285 312
678 139 25
641 279 27
473 384 917
229 91 782
105 77 513
451 226 769
601 804 460
805 458 989
806 307 744
313 538 146
169 506 367
693 723 507
459 19 191
251 182 30
338 101 653
598 86 565
300 581 722
848 620 53
34 138 115
645 359 785
577 533 296
539 180 240
844 490 310
187 568 426
158 399 308
793 801 535
560 736 268
115 221 731
571 692 921
5 352 586
27 530 713
804 313 248
723 293 712
257 361 6
192 499 224
375 669 815
807 496 674
787 413 346
813 229 99
566 325 69
595 151 86
412 487 2
470 55 359
641 197 850
751 772 110
577 624 464
203 338 395
242 333 682
853 617 683
613 347 251
427 277 393
662 776 329
141 851 124
161 739 329
493 802 409
438 434 708
445 137 271
725 380 482
780 19 641
104 162 197
21 709 330
422 641 440
677 233 452
810 340 198
44 587 341
174 158 618
373 576 395
59 158 275
113 579 896
522 719 54
412 233 801
755 100 463
794 205 218
347 575 594
213 675 818
24 681 495
696 265 478
335 610 907
241 502 1000
293 539 450
402 629 426
305 655 356
726 749 154
655 265 120
307 738 872
224 600 612
747 713 727
510 91 391
504 554 829
216 806 782
627 192 322
650 237 419
420 712 572
108 285 652
494 165 537
430 510 886
360 720 795
302 196 766
761 688 891
245 404 562
2 639 510
733 735 42
5 62 148
553 703 481
177 780 407
54 97 492
802 276 36
80 319 703
475 331 581
212 776 359
196 44 6
187 674 514
214 229 56
483 581 958
268 654 664
420 142 970
102 468 391
247 41 645
175 387 931
242 412 481
791 702 966
784 294 918
477 852 143
77 740 985
719 492 82
719 283 811
819 21 695
368 182 287
620 703 436
797 748 186
141 303 150
724 484 299
829 587 417
560 620 313
444 218 517
613 334 774
409 755 675
454 70 97
770 815 726
335 649 271
785 836 268
53 550 745
834 163 556
812 224 620
610 685 337
833 675 205
714 177 62
730 239 355
58 813 493
169 365 73
437 519 19
780 439 866
286 101 873
511 292 518
587 315 513
719 676 375
269 279 777
210 437 431
606 81 574
14 465 993
685 762 912
149 328 973
510 261 219
688 651 727
650 477 569
366 312 671
219 254 189
697 642 16
440 445 479
289 732 286
546 63 719
290 97 792
88 67 761
512 18 422
237 253 893
122 245 737
530 535 656
138 631 573
213 22 964
746 786 314
303 464 676
725 541 13
215 811 628
623 118 118
724 653 737
360 834 543
328 148 421
630 212 453
526 448 437
507 286 710
30 4 274
846 592 573
470 593 128
54 805 211
26 566 871
742 379 543
349 452 220
558 696 244
130 718 603
313 639 457
546 481 942
329 240 332
453 161 538
285 467 208
413 676 51
770 478 1000
519 799 415
61 214 41
674 376 856
375 116 207
246 155 332
403 466 598
400 785 743
265 596 704
308 534 748
265 535 58
316 225 421
547 797 604
184 515 743
215 362 949
554 73 372
48 276 810
667 683 78
602 581 840
291 442 13
532 69 606
780 195 570
799 557 717
845 392 382
456 312 323
278 446 783
81 768 710
366 755 360
413 519 584
229 334 51
466 15 327
689 69 3
240 788 328
825 847 817
480 649 226
280 170 617
99 603 478
589 680 152
330 847 11
824 168 744
75 816 398
620 329 484
181 74 277
573 275 357
382 49 174
87 536 23
631 500 418
70 756 19
633 781 882
447 538 537
613 527 761
537 753 706
16 559 688
271 411 274
244 236 211
57 619 44
573 437 704
640 853 492
29 811 996
109 133 103
214 636 120
687 655 967
131 630 474
414 663 284
337 353 713
28 586 910
680 750 836
167 676 520
256 464 688
386 285 812
434 488 150
815 545 619
836 327 429
145 139 25
105 459 655
569 612 738
426 274 618
10 137 137
191 13 498
35 828 781
513 623 328
834 849 249
366 328 727
482 820 67
3 209 849
520 166 753
356 76 293
758 777 482
382 438 28
200 250 922
321 578 994
243 400 8
655 106 424
156 438 499
787 356 742
565 411 610
404 745 284
261 627 317
192 18 716
378 271 32
776 426 399
587 750 955
821 29 349
329 196 932
274 163 495
717 835 282
403 568 190
91 504 621
77 797 696
229 270 692
485 294 824
275 430 600
805 622 125
225 330 183
616 625 366
343 392 408
218 67 686
251 554 447
163 4 574
475 433 482
92 540 707
712 740 332
303 500 102
486 650 56
29 818 544
361 572 573
738 143 682
294 787 937
381 798 463
414 489 487
630 310 482
764 808 659
4 395 911
525 480 513
382 102 136
682 1 536
731 759 444
574 784 71
261 161 101
42 78 789
151 460 778
575 649 447
309 696 574
791 724 759
532 8 458
559 566 52
798 416 723
658 127 135
761 810 918
315 179 525
732 718 173
213 515 960
272 14 463
351 412 69
13 516 159
383 130 991
847 39 406
476 664 640
392 649 601
301 778 91
36 384 824
664 782 701
697 146 261
390 796 326
230 142 2
117 496 443
282 442 237
280 252 886
569 242 258
458 373 194
234 800 688
653 59 354
174 808 401
217 568 988
223 281 233
60 478 680
488 696 726
509 119 954
481 584 281
187 625 414
320 364 276
425 361 170
717 635 73
391 400 429
794 480 989
441 159 313
88 730 588
758 722 319
503 647 836
154 247 916
229 828 529
822 183 395
240 768 30
440 543 446
355 791 337
571 311 931
845 394 183
374 850 883
695 414 489
26 113 223
69 614 318
35 503 377
534 143 24
471 35 955
848 473 390
560 4 313
753 171 630
814 613 184
492 703 910
160 99 731
450 289 166
288 335 349
473 365 489
178 767 82
643 245 689
845 91 393
30 743 724
293 748 593
655 677 847
207 552 203
610 200 267
200 753 955
790 376 308
380 430 157
52 275 846
199 319 746
53 5 195
368 181 341
361 792 538
47 473 357
545 794 476
771 361 12
356 601 116
330 674 23
1 829 526
390 844 373
137 784 845
619 682 126
816 74 453
53 703 928
17 316 170
693 188 385
752 764 771
66 302 360
817 411 12
398 123 921
634 279 483
200 135 66
697 125 278
28 644 581
477 829 328
482 611 434
292 384 578
700 424 21
725 132 207
841 441 973
112 92 180
806 133 347
431 830 969
816 797 686
422 541 734
242 399 991
33 644 314
259 124 494
837 674 260
712 109 707
525 23 209
288 836 445
674 796 222
811 183 907
311 347 257
335 824 812
799 681 28
528 393 49
263 496 758
662 79 66
755 762 141
572 253 214
475 389 147
7 301 242
83 517 577
449 704 826
565 238 668
144 739 761
