17
813 900
272 718 -601
214 184 73
54 26 329
7 60 -416
136 457 449
766 772 -910
453 81 657
737 685 169
648 260 878
253 31 -935
155 415 -291
522 235 651
295 377 -218
14 355 -164
552 382 -588
699 793 581
212 492 -585
745 206 -151
80 754 887
463 660 678
483 112 248
723 271 662
703 638 -733
434 423 395
204 356 -768
475 325 -955
82 204 -931
168 430 -128
45 795 681
314 452 924
503 396 -894
414 411 -655
91 80 -280
165 225 377
67 723 510
211 802 -753
607 660 635
299 582 631
368 107 689
700 57 -275
762 651 646
194 160 -276
258 740 913
458 315 241
703 796 -893
295 313 -444
514 694 610
95 573 -348
250 612 23
780 165 -438
203 302 22
161 566 -462
606 96 -580
94 494 -632
686 416 -288
265 571 -77
693 152 277
323 491 -81
43 564 667
264 82 -353
713 642 -845
332 191 376
748 668 -329
448 486 -458
571 740 -933
571 215 -488
331 123 477
781 570 340
174 481 106
788 310 510
159 527 -508
714 247 -716
800 813 102
746 702 -937
61 575 -38
99 85 623
390 257 761
632 461 36
88 381 707
81 559 741
297 534 -855
215 269 219
6 253 -835
688 391 247
346 301 -483
689 253 523
688 264 412
46 516 -861
718 706 -858
776 787 978
264 572 245
694 138 -813
358 429 341
309 96 -7
22 490 -311
91 602 287
800 202 -315
635 122 471
457 610 -519
738 687 -928
765 521 122
462 676 -327
757 499 -693
337 455 628
645 547 213
344 147 -275
360 63 -997
419 730 649
320 35 -30
205 701 -162
34 371 248
31 722 84
237 746 -323
127 192 756
129 207 -954
42 647 -486
403 361 -282
496 403 325
448 692 -314
271 730 -43
301 772 600
596 331 727
615 115 -909
189 646 -515
44 1 358
9 277 -588
473 780 -346
35 665 -499
765 220 -229
336 181 -286
498 767 -699
431 595 -535
491 287 828
46 289 -221
214 227 -944
600 382 590
466 284 -985
310 608 -835
344 254 -489
258 429 -974
17 591 454
263 436 135
587 314 -707
12 356 -777
602 662 792
17 95 70
65 372 418
131 297 964
770 586 -727
200 425 473
737 199 -205
772 610 456
1 470 597
18 82 566
27 278 -793
120 42 -754
251 704 374
59 74 -73
140 608 -201
571 635 -142
177 118 694
705 797 93
327 491 -950
591 258 80
494 208 -783
384 697 -497
329 15 872
784 13 -75
554 394 -67
102 177 -69
566 763 -87
763 156 -237
708 11 -351
408 375 727
368 248 863
810 268 -11
46 550 48
147 81 -251
129 383 -430
573 555 332
79 183 -969
544 89 237
758 517 -806
624 7 -229
434 253 -901
535 186 497
196 587 832
762 641 563
639 796 -582
740 313 -924
616 182 981
50 768 632
203 792 956
525 332 -50
236 163 -435
383 588 338
682 662 -697
679 235 312
250 308 507
43 373 373
745 571 363
480 653 -84
405 99 -640
2 290 -465
374 64 972
575 681 306
708 601 -581
735 111 -415
425 784 -235
794 299 881
254 727 -209
627 496 -64
390 267 860
775 738 -49
625 81 -554
267 566 280
265 295 -137
100 784 -911
739 735 -28
624 439 878
544 485 795
110 594 257
395 406 -110
105 744 -816
520 122 -975
367 252 -553
233 407 -603
760 588 -151
79 57 412
292 357 46
12 779 922
297 741 -652
357 509 671
320 190 312
183 552 -576
705 530 259
74 409 -68
31 111 -939
544 802 821
409 795 365
80 97 862
649 798 -463
758 660 251
490 658 83
158 7 -566
137 474 -835
300 801 -833
397 332 858
499 279 684
748 366 -373
352 428 -815
256 773 -968
211 330 423
39 402 -244
328 651 388
548 12 -115
371 687 476
468 756 592
384 293 -550
